date,block_utilization,inscription_density,pollution_probability,cumulative_tainted_pct,fee_displacement_ratio
2022-06-01,0.325,0.0,0.0,0.0,0.0
2022-12-01,0.3,0.0,0.0,0.0,0.0
2023-02-01,0.375,1.1574074074074074,0.19174569011228765,0.00039772727272727274,0.002320185614849188
2023-05-01,0.55,27.77777777777778,0.23957409279661135,0.014318181818181818,0.04970178926441352
2023-08-01,0.45,18.51851851851852,0.25178036043396146,0.009545454545454546,0.03735325506937033
2023-11-01,0.5,46.2962962962963,0.3110263349647998,0.02784090909090909,0.1020408163265306
2024-02-01,0.575,81.01851851851852,0.3592260793341649,0.04772727272727273,0.16401124648547327
2024-05-01,0.625,115.74074074074075,0.3369783555546669,0.07556818181818183,0.2558139534883721
2024-08-01,0.525,64.81481481481481,0.39707433847947327,0.03977272727272727,0.13798294029101854
2024-11-01,0.6,97.22222222222223,0.45492198214748364,0.06204545454545454,0.21008403361344538
2025-02-01,0.65,127.31481481481481,0.4101535134005755,0.08750000000000001,0.2863032524049473
2025-05-01,0.675,138.88888888888889,0.37342933034290693,0.1034090909090909,0.315884476534296
